Unique_Investment_Identifier,Business_Case_ID,Agency_Code,Agency_Name,Investment_Title,Unique_Project_ID,Project_ID,Project_Name,Start_Date,Completion_Date,Project_LifeCycle_Cost,Schedule_Variance_days,Schedule_Variancne_perc,Schedule_Color,Cost_Variance_mil,Cost_Variance,Cost_Color
007-000000882,48,7,Department of Defense,GLOBAL COMBAT SUPPORT SYSTEM-JOINT,P0882-101,2606,GCSS-J Increment 7,10/01/2008,31/03/2014,227.643,0,0,Green,1.005,1.24,Green
007-000001911,50,7,Department of Defense,Theater Battle Management Core System,P1911-104,2665,UL/UC2 Increment 2,27/02/2009,30/11/2012,5.7,0,0,Green,0,0,Green
007-000001911,50,7,Department of Defense,Theater Battle Management Core System,P1911-112,6567,UL/UC2 Inc 2 Modernization and Enhancements,17/12/2012,30/11/2013,1.7,0,0,Green,0,0,Green
007-000001911,50,7,Department of Defense,Theater Battle Management Core System,P1911-117,6573,C2AOS/C2IS Inc I CP-2,01/06/2013,31/07/2015,13.983,0,0,Green,0,0,Green
007-000001911,50,7,Department of Defense,Theater Battle Management Core System,P1911-108,6577,UL/UC2 OT/FDE Completion,17/12/2012,15/03/2013,0.1,-168,-190.91,Red,0,0,Green
007-000001911,50,7,Department of Defense,Theater Battle Management Core System,P1911-116,6579,C2AOS/C2IS Inc I CP-1,21/12/2012,30/06/2015,15.577,0,0,Green,0,0,Green
007-000001911,50,7,Department of Defense,Theater Battle Management Core System,P1911-111,6583,C2AOS / C2IS,20/12/2012,30/09/2018,71.8,0,0,Green,0,0,Green
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-101,2666,Medical Situation Awareness Technology (MSAT)/Theater Medical Data Store (TMDS) development and integration,30/09/2010,29/09/2012,14.596,0,0,Green,0.107,0.73,Green
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-102,2667,TMIP Composite Health Care System Cache (TC2),01/10/2011,30/09/2012,0.546,0,0,Green,0.001,0.18,Green
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-103,2668,Theater Integration,01/10/2010,30/09/2012,17.695,0,0,Green,0,0,Green
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-104,4831,MSAT/TMDSPHASE I,01/09/2012,30/11/2012,1.738,-18,-20,Yellow,0.732,42.12,Red
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-105,4833,MSAT/TMDS-PHASE II,01/12/2012,30/11/2013,7.201,-18,-4.95,Green,1.872,26,Yellow
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-106,4835,MSAT/TMDS-PHASE III,01/12/2013,30/11/2014,8.19,-18,-4.95,Green,2.892,35.31,Red
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-107,4837,TMIP CHCS CACHE - TC2,01/10/2012,30/09/2013,2.438,0,0,Green,0.115,4.72,Green
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-108,4839,Theater Integration & Sustainment  PHASE I,01/10/2012,30/09/2013,7.691,0,0,Green,1.638,21.3,Yellow
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-109,4841,Theater Integration & Sustainment  PHASE II,01/10/2013,30/09/2014,7.943,0,0,Green,1.79,22.54,Yellow
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-110,6261,AHLTA-Theater Development and SustainmentPHASE I,28/09/2012,30/09/2013,7.872,0,0,Green,0,0,Green
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,P1913-111,6263,AHLTA-Theater Development & SustainmentPHASE II,01/10/2013,30/09/2014,6.998,0,0,Green,0,0,Green
007-000001794,52,7,Department of Defense,STANDARD PROCUREMENT SYSTEM,P1794-101,2662,Service Release 14,31/05/2011,29/03/2012,1.415,-217,-71.62,Red,0,0,Green
007-000001794,52,7,Department of Defense,STANDARD PROCUREMENT SYSTEM,P1794-103,2663,Product Sustainment 2012,01/01/2012,31/12/2012,2.595,-334,-91.51,Red,0,0,Green
007-000002180,53,7,Department of Defense,INSTALLATION INFORMATION INFRASTRUCTURE MODERNIZATION PROGRAM,P2180-101,2671,Installation Information Infrastructure Modernization Program,01/10/2000,30/09/2018,768.593,0,0,Green,43.882,5.71,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-101,2672,Collapse Development and Integration,01/10/2011,30/09/2012,35.566,0,0,Green,-14.65,-3959.46,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-102,2673,Joint Convergence Development,01/10/2011,30/09/2012,3.899,90,24.66,Yellow,0,0,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-103,2674,BCCS Software Development and Technical Support,01/10/2011,30/09/2012,5.394,0,0,Green,2.716,50.35,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-104,2675,CPOF Development,01/10/2011,30/09/2012,16.571,0,0,Green,2.458,14.83,Yellow
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-105,2676,Test and Evaluation,01/10/2011,30/09/2012,0.36,0,0,Green,0,0,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-106,2677,Program Management Support,01/10/2011,30/09/2012,3.212,0,0,Green,0,0,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-107,2678,Hardware Procurement,01/10/2011,30/09/2012,18.032,0,0,Green,0,0,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-108,2679,Software Licenses and Support,01/10/2011,30/09/2012,24.563,0,0,Green,0,0,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-109,2680,Field Support,01/10/2011,30/09/2012,28.34,0,0,Green,-0.01,-0.04,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-110,2681,Program Management Support,01/10/2011,30/09/2012,7.086,0,0,Green,0,0,Green
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-111,3937,Convergence Development and Integration,01/10/2012,30/09/2014,42.869,0,0,Green,42.869,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-112,3939,Joint Convergence Development 2,01/10/2012,30/09/2014,3.942,0,0,Green,3.942,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-116,3941,Program Management Support,01/10/2012,30/09/2014,3.81,0,0,Green,3.81,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-120,3943,Program Management Support,01/10/2012,30/09/2014,14.156,0,0,Green,14.156,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-117,3945,Hardware Procurement,01/10/2012,30/09/2014,29.462,0,0,Green,29.462,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-118,3947,Software Licenses and Support,01/10/2012,30/09/2014,30.484,0,0,Green,30.484,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-113,3949,BCCS Software Development and Technical Support,01/10/2012,30/09/2014,10.01,0,0,Green,10.01,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-119,3951,Field Support,01/10/2012,30/09/2014,42.697,0,0,Green,35.758,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-114,3953,CPOF Development,01/10/2012,30/09/2014,41.001,0,0,Green,41.001,100,Red
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",P2213-115,3955,Test and Evaluation,01/10/2012,30/09/2014,2.355,0,0,Green,2.355,100,Red
007-000002166,55,7,Department of Defense,Advanced Field Artillery Tactical Data System,P2166-101,2669,AFATDS Capability Set 13-14 (V6.8) (COE V1),28/02/2010,17/12/2012,23.4,-256,-38.85,Red,0,0,Green
007-000002166,55,7,Department of Defense,Advanced Field Artillery Tactical Data System,P2166-102,2670,AFATDS Capability Set 15-16 (V6.8.X) (COE V2),26/03/2012,15/03/2015,35,-60,-5.54,Green,0,0,Green
007-000002166,55,7,Department of Defense,Advanced Field Artillery Tactical Data System,P2166-105,6275,FY13 AFATDS Hardware and Software License Procurement.,15/04/2013,15/01/2014,26.697,0,0,Green,26.697,100,Red
007-000002166,55,7,Department of Defense,Advanced Field Artillery Tactical Data System,P2166-104,6277,Network Assisted GPS,01/10/2012,30/09/2015,9,0,0,Green,4,44.44,Red
007-000003146,56,7,Department of Defense,Consolidated Afloat Networks Enterprise Service,P3146-101,2682,Engineering and Manufacturing Development,04/03/2010,29/06/2012,161.841,-168,-19.81,Yellow,4.715,4.01,Green
007-000003146,56,7,Department of Defense,Consolidated Afloat Networks Enterprise Service,P3146-102,2683,Limited Deployment,31/01/2012,31/12/2013,569.976,0,0,Green,0,0,Green
007-000003146,56,7,Department of Defense,Consolidated Afloat Networks Enterprise Service,P3146-103,3957,Full Deployment - FY14,01/10/2013,31/12/2014,405.358,0,0,Green,341.611,84.27,Red
007-000003538,57,7,Department of Defense,Next Generation Enterprise Network,P3538-101,2684,Next Generation Enterprise Network (NGEN) - Transition Phase One from NMCI to NGEN,10/08/2009,30/04/2014,7.8,-555,-88.38,Red,0,0,Green
007-000004035,58,7,Department of Defense,"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",P4035-101,2687,"Cyber Identity, Monitoring, & Enforcement",16/09/2011,30/09/2014,1.85,-152,-33.41,Red,0,0,Green
007-000004035,58,7,Department of Defense,"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",P4035-102,2688,T3 Transition Requirements,16/06/2011,30/04/2013,15.56,-122,-17.84,Yellow,0,0,Green
007-000004035,58,7,Department of Defense,"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",P4035-103,3043,RAPIDS Lifecycle Refresh,02/04/2012,30/09/2013,3.99,0,0,Green,0,0,Green
007-000005070,59,7,Department of Defense,GLOBAL COMBAT SUPPORT SYSTEM - ARMY,P5070-101,2692,Global Combat Support System- Army,05/11/2002,30/09/2027,4153.75,0,0,Green,22.454,4.69,Green
007-000006046,60,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),P6046-101,2695,Global Command and Control System - Maritime (GCCS-M) Procurement and Fielding (FY12),01/10/2011,30/09/2014,5.199,0,0,Green,0,0,Green
007-000006046,60,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),P6046-102,2696,GCCS-M Increment 2 Group Level Software Development (FY12),01/10/2011,30/09/2013,17.978,0,0,Green,0,0,Green
007-000006046,60,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),P6046-106,6211,GCCS-M Increment 2 / Global Force Management - Data Initiative (GFM-DI) Software Development(FY14),01/10/2013,30/09/2014,1.852,0,0,Green,0,0,Green
007-000006046,60,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),P6046-103,6213,Global Command and Control System - Maritime (GCCS-M) Procurement and Fielding (FY13),01/10/2012,30/09/2015,8.15,0,0,Green,0,0,Green
007-000006046,60,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),P6046-104,6215,GCCS-M Increment 2 Group Level / Global Force Management - Data Initiative (GFM-DI) SoftwareDevelopment (FY13),01/10/2012,30/09/2014,5.33,0,0,Green,0,0,Green
007-000006046,60,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),P6046-105,6217,Global Command and Control System - Maritime (GCCS-M) Procurement and Fielding (FY14),01/10/2013,30/09/2016,5.515,0,0,Green,0,0,Green
007-000006189,63,7,Department of Defense,JOINT PRECISION APPROACH AND LANDING SYSTEM,P6189-101,2698,Joint Precision Approach and Landing System (JPALS) Increment 1A,15/09/2008,30/06/2014,1274.29,0,0,Green,0,0,Green
007-000006170,65,7,Department of Defense,Mission Planning Systems (MPS) Increment III,P6170-101,2697,MPS Increment III,15/12/2004,31/12/2014,668.9,0,0,Green,0,0,Green
007-000006191,66,7,Department of Defense,AF NC3-MEECN Modernization,P6191-101,2801,Minuteman MEECN Program Upgrade (MMP-U),15/01/2005,30/12/2015,209.5,107,9.37,Green,41.992,56.77,Red
007-000006191,66,7,Department of Defense,AF NC3-MEECN Modernization,P6191-102,2802,Global Aircrew Strategic Network Terminal (Global ASNT),01/10/2011,30/12/2020,638.7,-1,-0.09,Green,8.903,54.31,Red
007-000006312,69,7,Department of Defense,DEFENSE TRAVEL SYSTEM,P6312-101,2701,Operations and Sustainment,01/10/2011,04/03/2014,51.427,0,0,Green,0,0,Green
007-000006312,69,7,Department of Defense,DEFENSE TRAVEL SYSTEM,P6312-102,2702,DTS Production Environment Development,01/10/2011,04/03/2014,11.077,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-101,2709,Software Development,01/10/2011,30/09/2012,0.37,0,0,Green,0.053,14.32,Yellow
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-102,2710,Software Development,01/10/2011,30/09/2012,1.416,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-103,2711,Software Development,01/10/2011,30/09/2012,16.525,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-104,2712,Test and Evaluation,01/10/2011,30/09/2012,0.5,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-105,2713,PMO Support,01/10/2011,30/09/2012,1.101,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-106,2714,Hardware,10/10/2011,30/09/2012,4.964,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-107,2715,Software Support,01/10/2011,30/09/2012,6.23,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-108,2716,Fielding Support,01/10/2011,30/09/2012,4.306,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-109,2717,Training Support,01/10/2011,30/09/2012,1.638,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-110,2718,PMO Support,01/10/2011,30/09/2012,1.682,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-116,6321,GCCS-A AND DRRS-A PROGRAM SUPPORT AND MANAGEMENT,01/10/2013,30/09/2014,2.078,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-118,6323,FIELDING AND TRAINING SUPPORT,01/10/2013,30/09/2014,7.584,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-120,6325,GCCS-A AND DRRS-A TEST AND EVALUATION,01/10/2013,30/09/2014,0.643,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-117,6327,SOFTWARE SUPPORT,01/10/2013,30/09/2014,8.871,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-114,6329,Software Support,01/10/2012,30/09/2013,3.529,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-115,6331,Fielding and Training Support,01/10/2012,30/09/2013,6.332,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-111,6333,GCCS-A and DRRS-A Software and System Engineering,01/10/2012,30/09/2013,11.484,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-112,6335,GCCS-A and DRRS-A Test and Evaluation,01/10/2012,30/09/2013,0.643,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-113,6337,GCCS-A and DRRS-A Program Support and Management,01/10/2012,30/09/2013,1.93,0,0,Green,0,0,Green
007-000006491,73,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,P6491-119,6339,GCCS-A AND DRRS-A SOFTWARE AND SYSTEM ENGINEERING,01/10/2013,30/09/2014,12.326,0,0,Green,0,0,Green
007-000006368,74,7,Department of Defense,NAVSTAR GLOBAL POSITIONING SYSTEM (GPS),P6368-101,2703,Sea Navigation Warfare (NAVWAR),15/05/2011,15/11/2012,180.1,114,20.73,Yellow,0,0,Green
007-000006388,75,7,Department of Defense,Tactical Data Link System,P6388-103,2706,Pocket-J,01/04/2009,31/12/2014,90.923,0,0,Green,0,0,Green
007-000006388,75,7,Department of Defense,Tactical Data Link System,P6388-104,2707,Link 16 Alaska (LAK),01/09/2010,30/09/2013,84.986,0,0,Green,0,0,Green
007-000006388,75,7,Department of Defense,Tactical Data Link System,P6388-105,4875,Joint Range Extension (JRE) / JRE Transparent Equipment Package (JTEP),08/07/2005,13/05/2013,32.51,-109,-129.76,Red,0,0,Green
007-000006524,77,7,Department of Defense,Joint Tactical Radio System (JTRS) - Airborne and Maritime/Fixed Station (AMF),P6524-102,2719,System Development Demonstration (SDD),28/03/2008,30/11/2013,1595.233,0,0,Green,229.515,19.59,Yellow
007-000006555,78,7,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),P6555-101,2720,Tech Insertion/Refresh Design,01/10/2009,31/10/2010,5.254,-1034,-261.77,Red,0.688,13.09,Yellow
007-000006555,78,7,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),P6555-102,2721,Tech Insertion/Refresh Design,01/10/2010,30/09/2030,142.06,0,0,Green,0.227,0.45,Green
007-000006555,78,7,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),P6555-103,2722,Tech Insertion/Refresh Production,01/10/2010,30/09/2030,223.372,-184,-20.2,Yellow,0.237,1.35,Green
007-000006555,78,7,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),P6555-104,2723,Operations and Maintenance,01/10/2010,30/09/2030,431.384,0,0,Green,4.741,14.48,Yellow
007-000006965,80,7,Department of Defense,NET-CENTRIC ENTERPRISE SERVICES,P6965-101,2727,Net Centric Enterprise Services pre-planned product improvements,01/10/2011,30/09/2012,155.198,-110,-36.18,Red,0,0,Green
007-000006587,82,7,Department of Defense,Joint Tactical Radio System (JTRS) - NETWORK ENTERPRISE DOMAIN (NED),P6587-102,2724,Network Enterprise Domain (NED) Engineering and Manufacturing Development,01/10/2001,01/01/2015,1918.475,93,2.26,Green,-36.959,-6.56,Green
007-000006587,82,7,Department of Defense,Joint Tactical Radio System (JTRS) - NETWORK ENTERPRISE DOMAIN (NED),P6587-103,2725,Network Enterprise Domain (NED) Post Deployment/Post Production Software Support,01/10/2008,30/09/2033,1153.331,0,0,Green,14.207,9.4,Green
007-000006946,83,7,Department of Defense,COMMON AVIATION COMMAND AND CONTROL SYSTEM,P6946-101,2726,Common Aviation Command and Control System,25/10/2002,30/09/2038,2472.5,0,0,Green,11,6.13,Green
007-000001854,86,7,Department of Defense,Battle Control System Fixed,P1854-101,2664,Battle Control System-Fixed,26/12/2006,17/02/2012,89.3,-560,-29.8,Yellow,0,0,Green
007-000000599,899,7,Department of Defense,Integrated Personnel and Pay System - Army Inc I,P0599-101,2597,Integrated Personnel and Pay System - Army (IPPS-A) Increment I,08/09/2009,30/09/2023,358.41,0,0,Green,-36.922,-22.67,Yellow
007-000001009,901,7,Department of Defense,Joint Personnel Identification Version 2,P1009-101,2613,Joint Personnel Identification System,01/10/2009,22/09/2016,407.385,0,0,Green,0.2,0.4,Green
007-000001202,902,7,Department of Defense,Warfighter Information Network - Tactical Increment 1,P1202-101,2649,Net Centric Waveform (NCW)/Colorless Core Modification Work Order (MWO) - FY12,01/10/2011,30/09/2012,34.848,-334,-91.51,Red,0,0,Green
007-000001202,902,7,Department of Defense,Warfighter Information Network - Tactical Increment 1,P1202-103,4029,Net Centric Waveform (NCW)/Colorless Core Modification Work Order (MWO) - FY13,01/10/2012,30/09/2013,98.292,-123,-33.79,Red,0,0,Green
007-000001202,902,7,Department of Defense,Warfighter Information Network - Tactical Increment 1,P1202-104,4031,Net Centric Waveform (NCW)/Colorless Core Modification Work Order (MWO) - FY14,01/10/2013,30/09/2014,222.008,-122,-33.52,Red,0,0,Green
007-000001208,903,7,Department of Defense,Warfighter Information Network - Tactical Increment 2,P1208-101,2650,Full Rate Production Decision Review,13/02/2010,15/09/2012,924.731,-9,-7.03,Green,0,0,Green
007-000001208,903,7,Department of Defense,Warfighter Information Network - Tactical Increment 2,P1208-103,4829,Fielding Inc 2 System,25/01/2014,30/09/2014,628,0,0,Green,0,0,Green
007-000001208,903,7,Department of Defense,Warfighter Information Network - Tactical Increment 2,P1208-102,7519,Follow-on Production Contract,18/09/2012,25/04/2014,35.1,0,0,Green,0,0,Green
007-000001242,904,7,Department of Defense,Warfighter Information Network - Tactical Increment 3,P1242-101,2651,Transmission Subsystem (TSS) Critical Design Review (CDR),02/07/2007,15/08/2013,287.808,0,0,Green,0,0,Green
007-000001242,904,7,Department of Defense,Warfighter Information Network - Tactical Increment 3,P1242-102,3921,Transmission Subsystem Developmental Test and Limited User Test (TSS DT/LUT),15/01/2013,15/10/2014,351.655,30,4.7,Green,0,0,Green
007-000001555,905,7,Department of Defense,Joint Battle Command-Platform,P1555-101,2656,Joint Battle Command - Platform (JBC-P) Development,01/10/2009,30/09/2014,203.192,-365,-63.15,Red,0,0,Green
007-000001555,905,7,Department of Defense,Joint Battle Command-Platform,P1555-102,6591,Joint Battle Command Platform (JBC-P) Production and Fielding,30/09/2013,30/09/2023,1000,0,0,Green,700,100,Red
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-101,2614,Hickam AFB Infrastructure upgrade.,01/10/2009,30/11/2011,0.619,31,3.92,Green,0,0,Green
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-102,2615,Hurburt Field Network Infrastructure upgrade.,10/06/2010,30/11/2011,0.849,0,0,Green,0,0,Green
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-103,2616,Creech AFB network infrastructure upgrade.,30/12/2011,30/11/2012,5.961,336,100,Red,0,0,Green
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-104,2617,Mountain Home AFB network infrastructure upgrade.,30/12/2011,30/01/2013,9.104,-212,-53.4,Red,0,0,Green
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-105,2618,Randolph AFB network infrastructure upgrade.,30/12/2011,30/09/2013,6.183,-30,-5.46,Green,0,0,Green
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-106,2619,Vance AFB network infrastructure upgrade.,30/12/2011,30/09/2013,5.126,0,0,Green,0,0,Green
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-107,2620,Columbus AFB network infrastructure upgrade.,31/01/2012,30/09/2013,5.322,304,55.37,Red,0,0,Green
007-000001017,906,7,Department of Defense,Base Information Transport Infrastructure - Wired,P1017-108,2621,Thule AB network infrastructure upgrade.,28/02/2012,30/09/2013,2.188,0,0,Green,0,0,Green
007-000001078,909,7,Department of Defense,Air Force Intranet Increment 2,P1078-101,2625,Enclave Control Node (ECN),31/01/2012,31/01/2015,27,0,0,Green,0,0,Green
007-000001078,909,7,Department of Defense,Air Force Intranet Increment 2,P1078-103,2626,Maintain the operational capabilities of existing gateways,01/10/2011,30/09/2015,95.14,0,0,Green,0,0,Green
007-000001078,909,7,Department of Defense,Air Force Intranet Increment 2,P1078-104,3823,SIPRNet Firewall Replacement,31/01/2013,31/01/2015,10,0,0,Green,10,100,Red
007-000001104,910,7,Department of Defense,Base Information Infrastructure,P1104-101,2630,Renew all mission essential software licenses and support agreements.,01/10/2011,30/09/2013,32.3,0,0,Green,0,0,Green
007-000001104,910,7,Department of Defense,Base Information Infrastructure,P1104-102,2631,Renew all mission essential hardware support contracts.,01/10/2011,30/09/2013,53.4,0,0,Green,0,0,Green
007-000001104,910,7,Department of Defense,Base Information Infrastructure,P1104-103,2632,"Update or replace obsolete, unsecure network infrastructure components.",01/10/2011,30/09/2017,37.213,0,0,Green,0,0,Green
007-000001152,911,7,Department of Defense,Voice Switching System,P1152-101,2633,Telephony Management System software license support,01/10/2011,30/09/2013,3.047,0,0,Green,0,0,Green
007-000001152,911,7,Department of Defense,Voice Switching System,P1152-102,2634,Voice Protection System (VPS) software license support.,01/10/2011,30/09/2013,2.302,0,0,Green,0,0,Green
007-000001152,911,7,Department of Defense,Voice Switching System,P1152-103,2635,Upgrade Defense Red Switch Network.,30/09/2012,30/04/2017,25.355,0,0,Green,2.939,11.59,Yellow
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,P1179-101,2636,Increment 2 Spiral 1 Software Development,30/11/2010,31/01/2012,9.188,35,8.2,Green,0.005,0.05,Green
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,P1179-102,2637,Increment 2 Spiral 2 Software Development,30/06/2011,30/09/2012,8.45,9,1.97,Green,0.211,2.5,Green
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,P1179-103,2638,ISPAN Increment 2 Program Management Support,01/10/2010,31/08/2013,7.492,344,32.3,Red,2.903,38.75,Red
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,P1179-104,2639,Increment 2 Hardware and Software to support Alternate Site requirement,01/12/2010,31/08/2013,6.223,0,0,Green,0.378,6.08,Green
007-000001179,912,7,Department of Defense,Integrated Strategic Planning and Analysis Network - Increment 2,P1179-105,2640,ISPAN Increment 2 Post Initial Operational Capability (IOC) Enhancements,30/04/2012,31/08/2013,10.369,0,0,Green,0,0,Green
007-000001184,913,7,Department of Defense,Mission Planning System (MPS) Increment IV,P1184-103,2641,Special Mission ACC Phase I,27/04/2011,30/09/2016,31.9,0,0,Green,0,0,Green
007-000001184,913,7,Department of Defense,Mission Planning System (MPS) Increment IV,P1184-104,2642,AMC Transition to the Joint Mission Planning System (JMPS),01/05/2012,30/09/2016,48.635,0,0,Green,0,0,Green
